Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,population,gene_set_db
prerank,HALLMARK_HYPOXIA,-0.4311800373690127,-0.8707285056169473,0.8004073319755601,0.8638853692576807,1.0,16/93,10.06%,SELENBP1;FOS;PRDX5;BTG1;JUN;CITED2;DUSP1;BNIP3L;ALDOA;F3;EFNA1;FBP1;ZFP36;SDC4;NDRG1;HK2,KRT8+ DATP,Hallmark
prerank,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.3616723889008846,0.8661478519839064,0.5384615384615384,1.0,0.436,25/55,5.76%,FLNA;TIMP1;TNFRSF12A;TPM4;DST;IL32;FSTL3;LAMC2;FN1;AREG;QSOX1;ITGA2;PDLIM4;GADD45A;LGALS1;GJA1;VIM;ITGAV;ITGB1;TGM2;PMEPA1;TGFB1;EMP3;CAPG;PLAUR,KRT8+ DATP,Hallmark
prerank,HALLMARK_PROTEIN_SECRETION,-0.3850578860653497,-0.7779185095782011,0.8615071283095723,0.9619524698626661,1.0,17/67,23.18%,CD63;ANP32E;AP2S1;BNIP3;CTSC;NAPA;LAMP2;TMED10;M6PR;SNX2;ATP1A1;USO1;COPE;YIPF6;LMAN1;PPT1;TMX1,KRT8+ DATP,Hallmark
prerank,HALLMARK_G2M_CHECKPOINT,-0.36399344624109403,-0.7472613782803125,0.8872950819672131,0.9654735340103526,1.0,11/73,18.30%,SQLE;CKS2;HMGN2;RAD21;SMC4;AMD1;ARID4A;CKS1B;HSPA8;KIF22;CDK4,KRT8+ DATP,Hallmark
prerank,HALLMARK_MITOTIC_SPINDLE,0.3388224795483633,0.7394620197340509,1.0,1.0,0.516,14/91,3.89%,GSN;EZR;NEDD9;FLNA;DST;SPTAN1;MYH9;TRIO;VCL;PALLD;RHOF;CTTN;CD2AP;RASA2,KRT8+ DATP,Hallmark
prerank,HALLMARK_UV_RESPONSE_DN,0.2951314355858384,0.7054590539237872,0.8,1.0,0.54,6/61,3.89%,ANXA2;CAV1;CELF2;RUNX1;GJA1;RASA2,KRT8+ DATP,Hallmark
prerank,HALLMARK_E2F_TARGETS,-0.33730630695953673,-0.7013696620519622,0.9390243902439024,0.973604370799143,1.0,30/77,35.62%,ANP32E;CKS2;NAA38;RAD21;SMC4;RFC1;CKS1B;HMGB2;KIF22;TFRC;CDK4;PHF5A;DUT;RAD1;PCNA;DEK;SRSF2;SMC3;RANBP1;POLD2;TRA2B;SHMT1;CDKN1B;POLE4;RAD50;XRCC6;RBBP7;USP1;PRDX4;HNRNPD,KRT8+ DATP,Hallmark
prerank,HALLMARK_APOPTOSIS,0.353468309594369,0.6967772371861906,1.0,0.9937153419593345,0.544,16/80,2.98%,GSN;KRT18;CDKN1A;NEDD9;ANXA1;LMNA;TIMP1;TNFRSF12A;BCL2L1;CFLAR;CCND1;CAV1;SPTAN1;CTNNB1;GADD45A;BIRC3,KRT8+ DATP,Hallmark
prerank,HALLMARK_TGF_BETA_SIGNALING,-0.34908662502096155,-0.6879894151488273,0.8946280991735537,0.9571438158673701,1.0,7/34,22.15%,JUNB;BMP2;ID1;ID2;FURIN;ID3;KLF10,KRT8+ DATP,Hallmark
prerank,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.289447487790143,0.6562325395745925,0.7,0.8632162661737524,0.56,2/51,0.37%,SFN;CDKN1A,KRT8+ DATP,Hallmark
prerank,HALLMARK_NOTCH_SIGNALING,-0.29346305262730155,-0.545406210778968,0.9464668094218416,0.9835602714149096,1.0,7/15,39.63%,FZD5;SKP1;APH1A;PSENEN;ST3GAL6;RBX1;HES1,KRT8+ DATP,Hallmark
prerank,REACTOME_KERATINIZATION,0.9424406385290193,2.480522383075505,0.0,0.012757136022962846,0.01,4/19,0.27%,KRT8;KRT7;KRT19;KRT18,KRT8+ DATP,Reactome
prerank,REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE,0.9424406385290193,2.480522383075505,0.0,0.012757136022962846,0.01,4/19,0.27%,KRT8;KRT7;KRT19;KRT18,KRT8+ DATP,Reactome
prerank,REACTOME_SENSORY_PROCESSING_OF_SOUND_BY_OUTER_HAIR_CELLS_OF_THE_COCHLEA,0.7909973068012611,2.125396574230967,0.025,0.27555413809599744,0.176,6/15,4.69%,GSN;EZR;SPTAN1;MYH9;EPS8L2;CLIC5,KRT8+ DATP,Reactome
prerank,REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,0.7451966909556589,2.046450633867179,0.0,0.29213841492584913,0.224,7/22,3.68%,GSN;LMNA;PLEC;SPTAN1;CDH1;CTNNB1;VIM,KRT8+ DATP,Reactome
prerank,REACTOME_MET_PROMOTES_CELL_MOTILITY,0.680521225564009,1.9208078707152123,0.0,0.40312549832562594,0.322,7/15,5.39%,ITGA3;LAMB3;LAMC2;FN1;ITGA2;ITGB1;MET,KRT8+ DATP,Reactome
prerank,REACTOME_SELENOAMINO_ACID_METABOLISM,-0.9283137520579821,-1.8721478227799304,0.0,0.0,0.0,71/89,4.61%,RPS4X;RPS27;RPL11;RPL34;RPLP1;RPS14;RPS25;RPL10;RPS23;RPL19;RPS12;RPL21;RPS6;RPS3;RPS28;RPL5;RPS3A;RPS15A;RPS13;RPL30;RPL32;RPS15;RPL23A;RPL6;RPS11;RPL7;RPL10A;RPS16;RPL9;RPL18;RPL41;RPL35A;RPL13;RPS9;RPS2;RPS24;RPL3;RPL39;RPL12;RPS29;RPL28;RPLP2;RPL37A;RPL24;RPL23;RPL18A;RPS20;RPL14;FAU;RPL8;RPS8;RPL22;RPS27A;RPS7;RPL29;RPL36;RPLP0;RPL37;RPS10;RPS5;RPL7A;RPL15;RPL31;RPL26;RPL38;UBA52;RPL27A;RPS19;RPL35;RPS17;RPL27,KRT8+ DATP,Reactome
prerank,REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,-0.9285619323462082,-1.8713007637352563,0.0,0.0,0.0,71/88,4.61%,RPS4X;RPS27;RPL11;RPL34;RPLP1;RPS14;RPS25;RPL10;RPS23;RPL19;RPS12;RPL21;RPS6;RPS3;RPS28;RPL5;RPS3A;RPS15A;RPS13;RPL30;RPL32;RPS15;RPL23A;RPL6;RPS11;RPL7;RPL10A;RPS16;RPL9;RPL18;RPL41;RPL35A;RPL13;RPS9;RPS2;RPS24;RPL3;RPL39;RPL12;RPS29;RPL28;RPLP2;RPL37A;RPL24;RPL23;RPL18A;RPS20;RPL14;FAU;RPL8;RPS8;RPL22;RPS27A;RPS7;RPL29;RPL36;RPLP0;RPL37;RPS10;RPS5;RPL7A;RPL15;RPL31;RPL26;RPL38;UBA52;RPL27A;RPS19;RPL35;RPS17;RPL27,KRT8+ DATP,Reactome
prerank,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,-0.9326683595869698,-1.8704927727990903,0.0,0.0,0.0,72/83,4.61%,RPS4X;RPS27;RPL11;EEF1A1;RPL34;RPLP1;RPS14;RPS25;RPL10;RPS23;RPL19;RPS12;RPL21;RPS6;RPS3;RPS28;RPL5;RPS3A;RPS15A;RPS13;RPL30;RPL32;RPS15;RPL23A;RPL6;RPS11;RPL7;RPL10A;RPS16;RPL9;RPL18;RPL41;RPL35A;RPL13;RPS9;RPS2;RPS24;RPL3;RPL39;RPL12;RPS29;RPL28;RPLP2;RPL37A;RPL24;RPL23;RPL18A;RPS20;RPL14;FAU;RPL8;RPS8;RPL22;RPS27A;RPS7;RPL29;RPL36;RPLP0;RPL37;RPS10;RPS5;RPL7A;RPL15;RPL31;RPL26;RPL38;UBA52;RPL27A;RPS19;RPL35;RPS17;RPL27,KRT8+ DATP,Reactome
prerank,REACTOME_NONSENSE_MEDIATED_DECAY_NMD,-0.9243796219098863,-1.870406272743845,0.0,0.0,0.0,71/99,4.61%,RPS4X;RPS27;RPL11;RPL34;RPLP1;RPS14;RPS25;RPL10;RPS23;RPL19;RPS12;RPL21;RPS6;RPS3;RPS28;RPL5;RPS3A;RPS15A;RPS13;RPL30;RPL32;RPS15;RPL23A;RPL6;RPS11;RPL7;RPL10A;RPS16;RPL9;RPL18;RPL41;RPL35A;RPL13;RPS9;RPS2;RPS24;RPL3;RPL39;RPL12;RPS29;RPL28;RPLP2;RPL37A;RPL24;RPL23;RPL18A;RPS20;RPL14;FAU;RPL8;RPS8;RPL22;RPS27A;RPS7;RPL29;RPL36;RPLP0;RPL37;RPS10;RPS5;RPL7A;RPL15;RPL31;RPL26;RPL38;UBA52;RPL27A;RPS19;RPL35;RPS17;RPL27,KRT8+ DATP,Reactome
prerank,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,-0.9120895771856998,-1.8531273623670972,0.0,0.0,0.0,74/103,5.94%,RPS4X;RPS27;RPL11;RPL34;RPLP1;RPS14;RPS25;RPL10;RPS23;RPL19;RPS12;RPL21;RPS6;RPS3;RPS28;RPL5;RPS3A;RPS15A;RPS13;RPL30;RPL32;RPS15;RPL23A;RPL6;RPS11;RPL7;RPL10A;RPS16;RPL9;RPL18;RPL41;RPL35A;RPL13;RPS9;RPS2;RPS24;RPL3;RPL39;RPL12;RPS29;RPL28;RPLP2;RPL37A;RPL24;RPL23;RPL18A;RPS20;RPL14;FAU;RPL8;RPS8;RPL22;RPS27A;RPS7;RPL29;RPL36;RPLP0;RPL37;RPS10;RPS5;RPL7A;RPL15;RPL31;RPL26;RPL38;UBA52;RPL27A;RPS19;RPL35;RPS17;RPL27;EIF3E;RPL36AL;RPS21,KRT8+ DATP,Reactome
prerank,REACTOME_INFLUENZA_INFECTION,-0.904940902936488,-1.8412560688253978,0.0,0.0,0.0,73/119,4.61%,RPS4X;RPS27;RPL11;RPL34;RPLP1;RPS14;RPS25;RPL10;RPS23;RPL19;RPS12;RPL21;RPS6;RPS3;RPS28;RPL5;RPS3A;RPS15A;RPS13;RPL30;RPL32;RPS15;RPL23A;RPL6;RPS11;RPL7;RPL10A;RPS16;RPL9;RPL18;RPL41;RPL35A;RPL13;RPS9;RPS2;RPS24;RPL3;RPL39;RPL12;RPS29;RPL28;RPLP2;RPL37A;RPL24;RPL23;RPL18A;RPS20;RPL14;FAU;RPL8;RPS8;RPL22;RPS27A;RPS7;RPL29;RPL36;RPLP0;RPL37;RPS10;RPS5;RPL7A;RPL15;RPL31;POLR2C;RPL26;RPL38;UBA52;RPL27A;RPS19;RPL35;RPS17;POLR2L;RPL27,KRT8+ DATP,Reactome
prerank,REACTOME_CELLULAR_RESPONSE_TO_STARVATION,-0.9023155700344904,-1.8404243611598683,0.0,0.0,0.0,75/113,5.94%,RPS4X;RPS27;RPL11;RPL34;RPLP1;RPS14;RPS25;RPL10;RPS23;RPL19;RPS12;RPL21;RPS6;RPS3;RPS28;RPL5;RPS3A;RPS15A;RPS13;RPL30;RPL32;RPS15;RPL23A;RPL6;RPS11;RPL7;RPL10A;RPS16;RPL9;RPL18;RPL41;RPL35A;RPL13;RPS9;RPS2;RPS24;RPL3;RPL39;RPL12;RPS29;RPL28;RPLP2;RPL37A;RPL24;RPL23;RPL18A;RPS20;RPL14;FAU;RPL8;RPS8;ATP6V0E1;RPL22;RPS27A;RPS7;RPL29;RPL36;RPLP0;RPL37;RPS10;RPS5;RPL7A;RPL15;RPL31;RPL26;RPL38;UBA52;RPL27A;RPS19;RPL35;RPS17;RPL27;FNIP2;RPL36AL;RPS21,KRT8+ DATP,Reactome
prerank,REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,-0.9051822964029744,-1.8355125996507138,0.0,0.0,0.0,78/99,7.47%,RPS4X;RPS27;RPL11;RPL34;RPLP1;RPS14;RPS25;RPL10;RPS23;RPL19;RPS12;RPL21;RPS6;RPS3;RPS28;RPL5;RPS3A;RPS15A;RPS13;RPL30;RPL32;RPS15;RPL23A;RPL6;RPS11;RPL7;RPL10A;RPS16;RPL9;RPL18;RPL41;RPL35A;RPL13;RPS9;RPS2;RPS24;RPL3;RPL39;RPL12;RPS29;RPL28;RPLP2;RPL37A;RPL24;RPL23;RPL18A;RPS20;RPL14;FAU;RPL8;RPS8;RPL22;RPS27A;RPS7;RPL29;RPL36;RPLP0;RPL37;RPS10;RPS5;RPL7A;RPL15;RPL31;RPL26;RPL38;UBA52;RPL27A;RPS19;RPL35;RPS17;RPL27;SEC11C;RPL36AL;RPS21;SSR2;RPSA;SPCS2;RPS26,KRT8+ DATP,Reactome
prerank,REACTOME_RRNA_PROCESSING,-0.8990562243079422,-1.831736115933964,0.0,0.0,0.0,71/129,4.61%,RPS4X;RPS27;RPL11;RPL34;RPLP1;RPS14;RPS25;RPL10;RPS23;RPL19;RPS12;RPL21;RPS6;RPS3;RPS28;RPL5;RPS3A;RPS15A;RPS13;RPL30;RPL32;RPS15;RPL23A;RPL6;RPS11;RPL7;RPL10A;RPS16;RPL9;RPL18;RPL41;RPL35A;RPL13;RPS9;RPS2;RPS24;RPL3;RPL39;RPL12;RPS29;RPL28;RPLP2;RPL37A;RPL24;RPL23;RPL18A;RPS20;RPL14;FAU;RPL8;RPS8;RPL22;RPS27A;RPS7;RPL29;RPL36;RPLP0;RPL37;RPS10;RPS5;RPL7A;RPL15;RPL31;RPL26;RPL38;UBA52;RPL27A;RPS19;RPL35;RPS17;RPL27,KRT8+ DATP,Reactome
