gene,gene_ens,log2FC,pvalue,padj,mean_group,mean_ref,pct_group,pct_ref
ANKRD11,ENSG00000167522,0.9404,5.883911336888978e-07,1.893910545497903e-06,1.0651,0.5549,0.443,0.345
DNAJB11,ENSG00000090520,-2.8117,5.952394797312225e-07,1.9150310621988606e-06,0.048,0.3375,0.02,0.227
UBE2A,ENSG00000077721,-1.8154,5.973460227223006e-07,1.9208830456245766e-06,0.1137,0.4003,0.06,0.269
LYPLA2,ENSG00000011009,-3.7251,5.983903734430291e-07,1.9233153533330084e-06,0.0242,0.3218,0.015,0.22
CLINT1,ENSG00000113282,-0.7875,6.023516046761708e-07,1.9351160979471596e-06,0.4402,0.7599,0.214,0.458
GPR108,ENSG00000125734,-3.2145,6.03100069616245e-07,1.9365891177725483e-06,0.0366,0.3403,0.025,0.23
ARCN1,ENSG00000095139,-2.5819,6.049751560553712e-07,1.9416766301267777e-06,0.0593,0.3556,0.035,0.241
TAX1BP1,ENSG00000106052,-0.6236,6.15818679544439e-07,1.9755297601716177e-06,0.5633,0.8679,0.264,0.514
FOCAD,ENSG00000188352,2.5125,6.173487696924026e-07,1.979487485729984e-06,0.5699,0.0998,0.259,0.063
EPB41L2,ENSG00000079819,3.9336,6.240377318558691e-07,1.999975053294314e-06,0.4663,0.0304,0.224,0.023
EPB41L4A-AS1,ENSG00000224032,-4.3432,6.278704475451289e-07,2.0112933904814947e-06,0.0156,0.3194,0.01,0.214
GOLIM4,ENSG00000173905,-1.3453,6.302346730812136e-07,2.01693214255363e-06,0.1922,0.4884,0.1,0.314
AKAP1,ENSG00000121057,-1.5751,6.30063772011616e-07,2.01693214255363e-06,0.1515,0.4515,0.08,0.292
RBM6,ENSG00000004534,1.1726,6.35111878132712e-07,2.0315671619005666e-06,0.8823,0.3914,0.393,0.243
PARP1,ENSG00000143799,-1.8395,6.373295763643175e-07,2.037685131899127e-06,0.1131,0.4051,0.06,0.269
STK3,ENSG00000104375,1.3918,6.389606297667869e-07,2.041922510149459e-06,0.7952,0.303,0.353,0.188
DMBT1,ENSG00000187908,-2.1058,6.448757828529298e-07,2.0598399587157903e-06,0.114,0.4911,0.05,0.259
SLC22A23,ENSG00000137266,1.789,6.55417906988458e-07,2.0925125242714677e-06,0.6477,0.1874,0.299,0.108
C9orf152,ENSG00000188959,-4.5372,6.638888361853497e-07,2.118544451448615e-06,0.0135,0.3153,0.01,0.213
ZNF706,ENSG00000120963,-1.1355,6.681379362773281e-07,2.1310856143248684e-06,0.234,0.5143,0.114,0.333
YIPF6,ENSG00000181704,-1.6926,6.880502421961461e-07,2.193550151612439e-06,0.1279,0.4137,0.065,0.275
FAM174A,ENSG00000174132,-3.0793,6.961742322856075e-07,2.2183910770207882e-06,0.0402,0.3409,0.025,0.229
BAZ2B,ENSG00000123636,1.151,6.978424082969762e-07,2.2226463733979514e-06,0.9111,0.4102,0.393,0.256
EXOSC7,ENSG00000075914,-1.8806,7.019755324311725e-07,2.234744795570925e-06,0.1078,0.3972,0.05,0.26
TNFRSF1A,ENSG00000067182,-1.0618,7.295760598101068e-07,2.3215047658273957e-06,0.2759,0.5761,0.139,0.361
ASRGL1,ENSG00000162174,-2.2455,7.349087349574933e-07,2.3373597337052847e-06,0.0807,0.3833,0.045,0.249
CASC15,ENSG00000272168,8.1388,7.355319040930094e-07,2.338228266271875e-06,0.4613,0.0015,0.204,0.001
POLR3GL,ENSG00000121851,-3.1592,7.371204508344203e-07,2.3421634115714048e-06,0.0356,0.3192,0.015,0.219
C5orf24,ENSG00000181904,-1.7415,7.594763076954507e-07,2.4120505273884522e-06,0.1221,0.4085,0.065,0.272
CNN3,ENSG00000117519,-0.7178,7.68943333330459e-07,2.4409565224877072e-06,0.4528,0.7448,0.209,0.454
ETF1,ENSG00000120705,-1.2228,7.72322180618363e-07,2.45051774078387e-06,0.2163,0.5049,0.104,0.326
LMO3,ENSG00000048540,-0.6501,7.734516378769981e-07,2.45293612981029e-06,0.6353,0.997,0.279,0.561
PSD3,ENSG00000156011,2.7358,7.817329917035312e-07,2.4780230904546203e-06,0.5991,0.0899,0.249,0.054
MVB12A,ENSG00000141971,-3.0656,7.848944026813452e-07,2.4868641914177915e-06,0.0385,0.3227,0.015,0.22
PTPN13,ENSG00000163629,-0.7133,7.971123060848039e-07,2.5243779480039853e-06,0.5578,0.9146,0.244,0.509
CCNC,ENSG00000112237,-1.3615,8.012254965374173e-07,2.5362014651058817e-06,0.1873,0.4815,0.104,0.317
FBXW7,ENSG00000109670,2.1004,8.027655000382179e-07,2.5398724655401504e-06,0.6583,0.1534,0.284,0.1
FBXW5,ENSG00000159069,-1.5722,8.054519047918937e-07,2.5471653750497435e-06,0.1402,0.4171,0.07,0.279
PPP2R5A,ENSG00000066027,-1.0195,8.172247432486764e-07,2.5831727686502176e-06,0.2822,0.5721,0.139,0.363
UBXN6,ENSG00000167671,-3.8086,8.217846151746837e-07,2.596357353241113e-06,0.0231,0.3247,0.02,0.22
PLA2G12A,ENSG00000123739,-1.6731,8.280507918563517e-07,2.6149178434083086e-06,0.1314,0.4191,0.075,0.28
GNPTG,ENSG00000090581,-2.5687,8.477762349840204e-07,2.6759439855662914e-06,0.0633,0.3757,0.04,0.242
DCTN2,ENSG00000175203,-1.8958,8.682529740988879e-07,2.739282765236879e-06,0.1068,0.3978,0.06,0.267
TC2N,ENSG00000165929,-1.1629,8.702833269249664e-07,2.7443920399111664e-06,0.2453,0.5494,0.124,0.342
M6PR,ENSG00000003056,-1.2215,8.740565580511114e-07,2.754989972262092e-06,0.1909,0.4452,0.08,0.297
ANAPC15,ENSG00000110200,-4.7286,8.836432152049658e-07,2.783892940733003e-06,0.0114,0.3058,0.005,0.207
GDF15,ENSG00000130513,-1.411,8.863523544201835e-07,2.791111445154364e-06,0.1998,0.5315,0.08,0.294
CRLS1,ENSG00000088766,-1.3917,8.870308878627512e-07,2.791931809630214e-06,0.1742,0.4573,0.09,0.299
STARD7,ENSG00000084090,-1.5165,9.053338122310331e-07,2.848198083792308e-06,0.1559,0.4463,0.085,0.293
RBM42,ENSG00000126254,-4.85,9.102617578621153e-07,2.862353239529693e-06,0.0106,0.3073,0.01,0.21
DDX5,ENSG00000108654,-0.5584,9.142716178169365e-07,2.8736094754820325e-06,1.1682,1.7204,0.488,0.83
HERC1,ENSG00000103657,1.4256,9.155303698975839e-07,2.876212295647207e-06,0.7923,0.2949,0.348,0.186
MED8,ENSG00000159479,-4.3263,9.262619595071608e-07,2.9085583580387055e-06,0.0149,0.3015,0.005,0.207
ATP6AP1-DT,ENSG00000197180,-11.5742,9.315129633279255e-07,2.9236725009714357e-06,0.0,0.3048,0.0,0.201
ITPA,ENSG00000125877,-2.6754,9.454876992474301e-07,2.9661401330547607e-06,0.0547,0.3501,0.035,0.237
EWSR1,ENSG00000182944,-0.9671,9.56082743165145e-07,2.9965634169873313e-06,0.314,0.6139,0.164,0.385
TPM3,ENSG00000143549,-0.7445,9.56082743165145e-07,2.9965634169873313e-06,0.4442,0.7443,0.204,0.453
EIF4G1,ENSG00000114867,-0.8731,9.778404121319195e-07,3.0633190021712434e-06,0.3261,0.5973,0.154,0.378
SOD2,ENSG00000291237,-0.5784,9.793326355128657e-07,3.066555402058336e-06,0.8529,1.2736,0.343,0.652
FLOT1,ENSG00000137312,-1.144,9.936942378873188e-07,3.11006739215061e-06,0.2326,0.5142,0.109,0.33
CASP4,ENSG00000196954,-1.2079,1.00366132027894e-06,3.139791081097443e-06,0.2277,0.5262,0.119,0.336
SMIM15,ENSG00000188725,-2.2662,1.0100260683671542e-06,3.158222898232314e-06,0.0695,0.3349,0.025,0.231
PCSK5,ENSG00000099139,2.3318,1.0186762557469696e-06,3.183780398752461e-06,0.5557,0.1103,0.259,0.066
BACH1,ENSG00000156273,1.8275,1.0198401635512756e-06,3.1859272461922216e-06,0.6828,0.1923,0.303,0.13
CLASP2,ENSG00000163539,1.9538,1.0231837977797919e-06,3.1948782540304955e-06,0.6358,0.1641,0.289,0.105
