gene,gene_ens,log2FC,pvalue,padj,mean_group,mean_ref,pct_group,pct_ref
ABRACL,ENSG00000146386,0.2224,0.038656252513563125,0.07145898486769262,0.4985,0.4272,0.292,0.28
HEXIM1,ENSG00000186834,0.4227,0.038655696384352026,0.07145898486769262,0.3224,0.2405,0.187,0.162
NARS2,ENSG00000137513,-0.2783,0.03881446860065895,0.07172095260989107,0.1929,0.234,0.116,0.156
RNPC3,ENSG00000185946,-0.2872,0.038924539971028856,0.07189377420913362,0.1934,0.236,0.113,0.152
VDAC2,ENSG00000165637,-0.1434,0.03922705579500543,0.0724217436215351,0.7237,0.7993,0.407,0.483
KANSL1L,ENSG00000144445,-0.4232,0.03964762262339309,0.07316712013641884,0.1654,0.2218,0.097,0.134
ELF2,ENSG00000109381,-0.241,0.03983294526848969,0.07347792026182352,0.2396,0.2832,0.142,0.183
AACS,ENSG00000081760,-0.2779,0.03985748209191856,0.07349198861751297,0.1536,0.1862,0.091,0.131
MRPS17,ENSG00000239789,-0.4264,0.0399094511483298,0.07355660504268079,0.1198,0.161,0.076,0.113
DHRS4,ENSG00000157326,0.2878,0.04004134435405609,0.07376841142972775,0.3907,0.32,0.23,0.204
UBQLN4,ENSG00000160803,0.7767,0.040085199664228986,0.07381791429692337,0.1809,0.1055,0.107,0.075
RETREG2,ENSG00000144567,-0.2498,0.040243186106254894,0.07407746159160684,0.1786,0.2123,0.109,0.15
UBA2,ENSG00000126261,-0.1532,0.0404106504815319,0.07435422819336902,0.2974,0.3308,0.177,0.226
DCP1A,ENSG00000272886,-0.2263,0.04052252488808852,0.07452852017081367,0.2026,0.237,0.122,0.163
PRKG1,ENSG00000185532,-0.7524,0.0406715184767602,0.0747709049492385,0.1338,0.2255,0.078,0.111
ACBD3,ENSG00000182827,-0.173,0.04071624888303248,0.07482148737660006,0.3003,0.3386,0.178,0.224
PIN4,ENSG00000102309,0.2491,0.04098667673419028,0.07528660062839855,0.4787,0.4028,0.277,0.266
RRAGC,ENSG00000116954,-0.232,0.041034625758345204,0.07534283208524219,0.1919,0.2255,0.12,0.161
CLN5,ENSG00000102805,-0.2473,0.041057740109795904,0.07535343687380618,0.1565,0.1857,0.09,0.131
ARHGAP1,ENSG00000175220,0.4969,0.0411520671811013,0.07549467453316432,0.2668,0.189,0.159,0.132
ZNF652,ENSG00000198740,-0.1998,0.04122337338620831,0.0755935783698149,0.2042,0.2346,0.117,0.159
PTTG1,ENSG00000164611,-0.4542,0.041271262922366575,0.07564947644901102,0.1225,0.1678,0.074,0.111
IKBKB,ENSG00000104365,0.5103,0.04139369771158053,0.07581588637631827,0.2493,0.175,0.148,0.118
GTF2H1,ENSG00000110768,-0.3523,0.041396939339853486,0.07581588637631827,0.1256,0.1603,0.076,0.114
NCOR1,ENSG00000141027,-0.1498,0.04150314770690489,0.07597838244911906,0.5189,0.5757,0.301,0.36
SYNJ2BP,ENSG00000213463,-0.2152,0.041619059140942855,0.07615849727433163,0.1784,0.2071,0.106,0.148
NCK1,ENSG00000158092,-0.3405,0.041962476667186686,0.07675459747289282,0.1405,0.1779,0.085,0.123
TBC1D22A,ENSG00000054611,-0.3612,0.04202720834182535,0.0768406594251464,0.1839,0.2362,0.112,0.149
