gene,gene_ens,log2FC,pvalue,padj,mean_group,mean_ref,pct_group,pct_ref
RPL41,ENSG00000229117,-2.1459,6.637128341783723e-282,3.205431301429639e-280,0.5374,2.3786,0.236,0.908
SEC61G,ENSG00000132432,-4.6816,3.269993167428714e-280,1.5673839430344403e-278,0.0616,1.5822,0.036,0.781
GAPDH,ENSG00000111640,-3.7041,7.082537580051695e-280,3.369490826330564e-278,0.1308,1.7053,0.068,0.81
RPSA,ENSG00000168028,-2.2957,3.7307230116683966e-279,1.761730311065632e-277,0.4361,2.1418,0.203,0.896
TMEM258,ENSG00000134825,-5.4252,4.75546822062307e-276,2.2291257284170642e-274,0.0353,1.5212,0.021,0.768
RPS28,ENSG00000233927,-1.9734,1.684412152534343e-274,7.838049249931706e-273,0.6334,2.4877,0.262,0.926
SLC25A6,ENSG00000169100,-2.8886,1.884830364914217e-274,8.707096794440676e-273,0.248,1.8373,0.122,0.842
RPS20,ENSG00000008988,-2.7619,1.612621300232299e-271,7.396014956101372e-270,0.2978,2.0205,0.141,0.846
MYL12B,ENSG00000118680,-3.2039,3.063004428924023e-267,1.3947609453136177e-265,0.1887,1.7391,0.092,0.827
PTMA,ENSG00000187514,-2.0579,7.896682869588667e-266,3.570308744228919e-264,0.5461,2.2742,0.24,0.915
ACTG1,ENSG00000184009,-2.8412,2.65750116761437e-265,1.1930683058832118e-263,0.2612,1.8727,0.121,0.847
SUMO2,ENSG00000188612,-4.1206,1.4848094412999845e-264,6.619342789012168e-263,0.089,1.5497,0.045,0.776
S100A14,ENSG00000189334,-3.4735,4.740859016343267e-264,2.0988177936936337e-262,0.1496,1.6632,0.077,0.798
NUPR1,ENSG00000176046,-3.1188,1.14953039034851e-263,5.053969819635691e-262,0.2038,1.7712,0.101,0.823
YBX1,ENSG00000065978,-3.5072,2.6087244390949407e-263,1.1390834451527566e-261,0.1476,1.6787,0.073,0.802
NPC2,ENSG00000119655,-1.8702,5.759355131407057e-263,2.4976795212734687e-261,0.6657,2.4338,0.282,0.929
SERPINA1,ENSG00000197249,-2.8651,1.807456795373535e-261,7.785498020612355e-260,0.252,1.837,0.126,0.829
RPS29,ENSG00000213741,-2.4306,7.139104532602872e-261,3.0544826439827727e-259,0.3914,2.1107,0.178,0.867
RPL13,ENSG00000167526,-1.8535,2.0419526697666287e-260,8.678298846508172e-259,0.6897,2.4926,0.282,0.927
S100A10,ENSG00000197747,-3.4426,1.9867912960811171e-259,8.38794338577293e-258,0.1548,1.6838,0.08,0.791
SEC61B,ENSG00000106803,-3.4877,2.726360085800407e-259,1.143456943880105e-257,0.1434,1.6095,0.074,0.793
HNRNPA1,ENSG00000135486,-2.8696,5.122010548385598e-259,2.1341710618273327e-257,0.2364,1.7286,0.123,0.818
B2M,ENSG00000166710,-2.1581,7.433471170966246e-259,3.077167449020118e-257,0.5196,2.3195,0.208,0.921
EEF1A1,ENSG00000156508,-1.6818,1.89890456900569e-258,7.810010727362112e-257,0.8152,2.6157,0.326,0.932
ATP5MK,ENSG00000173915,-4.9313,2.309172395448234e-258,9.43652180832211e-257,0.0477,1.4592,0.028,0.748
NDUFB11,ENSG00000147123,-5.2739,3.3423558482315176e-258,1.3571667855080205e-256,0.0369,1.433,0.022,0.744
SLC25A3,ENSG00000075415,-3.2551,9.001863425837644e-258,3.6320809708680367e-256,0.1724,1.6472,0.089,0.801
MYL12A,ENSG00000101608,-3.9142,1.3275563937976424e-257,5.322749692113189e-256,0.1029,1.5531,0.056,0.772
RPL27A,ENSG00000166441,-2.6736,4.4217489139229105e-257,1.7617905828911598e-255,0.3101,1.979,0.145,0.832
PRDX1,ENSG00000117450,-4.3734,5.7486047798162514e-257,2.276233259088733e-255,0.0732,1.5184,0.039,0.76
PPIB,ENSG00000166794,-3.325,3.118393834697659e-254,1.2271457219875047e-252,0.161,1.6141,0.089,0.788
TSTD1,ENSG00000215845,-4.7045,6.156526574569718e-254,2.407843982385396e-252,0.0561,1.4658,0.03,0.749
MIF,ENSG00000240972,-3.9242,9.130589198273068e-253,3.549238179206757e-251,0.1036,1.5741,0.056,0.762
CXCL17,ENSG00000189377,-2.5162,2.1026574716639258e-251,8.12390386779244e-250,0.3314,1.8966,0.157,0.85
NDUFS5,ENSG00000168653,-4.6547,4.3836699643066424e-251,1.683487712196075e-249,0.0571,1.4412,0.035,0.741
EDF1,ENSG00000107223,-3.6491,5.274803615934979e-251,2.0135852126697897e-249,0.1215,1.5253,0.068,0.769
DCXR,ENSG00000169738,-3.754,6.02556134969876e-251,2.2864853335910473e-249,0.1142,1.5426,0.058,0.77
SELENOP,ENSG00000250722,-2.8572,2.7061561612438856e-250,1.0208133448479153e-248,0.2387,1.7306,0.118,0.819
ATP6V1G1,ENSG00000136888,-3.6438,1.7227792978009325e-248,6.460422366753496e-247,0.1222,1.5283,0.062,0.771
RPS19,ENSG00000105372,-1.8252,7.470129045302903e-248,2.784916530047135e-246,0.677,2.3993,0.28,0.922
EEF1D,ENSG00000104529,-2.2494,8.934782761524184e-247,3.3115837270184114e-245,0.4092,1.946,0.191,0.872
HLA-DRA,ENSG00000204287,-3.2807,4.728689525036323e-246,1.742508423243154e-244,0.1728,1.6798,0.081,0.79
TPI1,ENSG00000111669,-3.5406,6.7125388785010814e-245,2.4593353649680686e-243,0.1314,1.5303,0.073,0.768
FOS,ENSG00000170345,-2.8702,7.505461510930378e-245,2.734132407553209e-243,0.2535,1.8545,0.118,0.813
NDUFB2,ENSG00000090266,-4.1005,1.6633258758147837e-244,6.024830942226844e-243,0.0844,1.4493,0.045,0.748
COX7B,ENSG00000131174,-5.0094,9.04791795303994e-243,3.258784008510148e-241,0.0431,1.3929,0.027,0.724
