rank,gene_symbol,ensembl_id,log2FC,pvalue,padj
248,SYT8,ENSG00000149043,0.7914962493097782,0.017829353282151676,0.22869021286501806
249,MARCO,ENSG00000019169,-2.029547193413028,0.017911682074201088,0.22882353685957293
250,CST3,ENSG00000101439,0.14465946298744248,0.01830703279692933,0.23293868530812878
251,ATP8A1,ENSG00000124406,-0.8932724877972011,0.018621825307481556,0.23600010479322245
252,CSTB,ENSG00000160213,-0.20022572912689052,0.018846618016537517,0.23790115837542
253,GSTA1,ENSG00000243955,0.7395420422089724,0.018940265904190713,0.23813828395743342
254,CD151,ENSG00000177697,-0.34215204593466336,0.019115054639518354,0.23938971971774758
255,GLCCI1,ENSG00000106415,-0.9013034543245393,0.01938482290236555,0.2418161633428424
256,SLC38A4-AS1,ENSG00000257261,-1.8041006050798791,0.0197518948181332,0.24543272428313168
257,SOD2,ENSG00000291237,-0.6090499376667019,0.019960913697929728,0.24592729318576062
258,TMSB4X,ENSG00000205542,-0.22709721322020604,0.019967653579702187,0.24592729318576062
259,THBD,ENSG00000178726,-0.6805382263213513,0.02002363059890349,0.24592729318576062
260,ATP12A,ENSG00000075673,2.4257045087097864,0.02013331600096927,0.24632337768878174
261,CLIC5,ENSG00000112782,1.796334982855225,0.020392701504856572,0.24854093290018683
262,DMXL2,ENSG00000104093,-1.1127900698769486,0.021240864613916766,0.2553904080741206
263,NOP10,ENSG00000182117,-0.4911483534358703,0.021443378885912544,0.2553904080741206
264,CSRP2,ENSG00000175183,-2.5226326734042663,0.02153804122913644,0.2553904080741206
265,HIF3A,ENSG00000124440,-14.037474522949855,0.02157663851580142,0.2553904080741206
266,SUSD3,ENSG00000157303,-15.20052904173384,0.02157663851580142,0.2553904080741206
267,CYBB,ENSG00000165168,-15.088568204138856,0.02157663851580142,0.2553904080741206
268,B3GALNT1,ENSG00000169255,-14.925763744049434,0.02157663851580142,0.2553904080741206
269,SOD3,ENSG00000109610,-0.7257269484388431,0.021672383386765387,0.2553904080741206
270,IFI30,ENSG00000216490,-1.16757967017843,0.021742156606726223,0.2553904080741206
271,KRT7,ENSG00000135480,0.3169848510555619,0.021757560700435927,0.2553904080741206
272,ELAPOR1,ENSG00000116299,0.8749012239341629,0.02190917818155203,0.25622461689528314
273,RGN,ENSG00000130988,-2.118152835091065,0.02216548360786973,0.25800031310307786
274,PTPRG,ENSG00000144724,-0.6830640483418429,0.02223071288108805,0.25800031310307786
275,TSPO,ENSG00000100300,-0.37231663503366486,0.02237813318153654,0.25800031310307786
276,SERPINA1,ENSG00000197249,-0.3197940598956279,0.0223854405584563,0.25800031310307786
277,ARRB2,ENSG00000141480,-1.0392369320580483,0.02252428405599061,0.2586633486718633
278,FAM117A,ENSG00000121104,-1.3970731291989749,0.022987840783035476,0.26303712780876204
279,EMP3,ENSG00000142227,-1.1825358493554543,0.023696913106882465,0.2701787834874305
280,ITGA1,ENSG00000213949,-1.7402849528282927,0.02386062714156683,0.2708461107101249
281,STOX2,ENSG00000173320,-1.0720840056134704,0.023925733137235176,0.2708461107101249
282,COL4A3,ENSG00000169031,-1.995968710807237,0.024336980974643024,0.2745245974480123
283,MAGI1,ENSG00000151276,-0.805485065405831,0.02446956826159796,0.2750448644528025
284,FKBP11,ENSG00000134285,-1.231407748955489,0.024601776278756326,0.2752784355683928
285,C1orf162,ENSG00000143110,-1.3562812720183057,0.024749588343927716,0.2752784355683928
286,WIF1,ENSG00000156076,-0.4999157152880329,0.024923513042038,0.2752784355683928
287,LINC02489,ENSG00000255007,-1.0347205982460785,0.02496438552316008,0.2752784355683928
288,FSTL3,ENSG00000070404,-1.4126085023678865,0.02496741192685274,0.2752784355683928
289,SYNE2,ENSG00000054654,0.4798188428055794,0.02500957808213314,0.2752784355683928
290,CHST11,ENSG00000171310,-0.4786164753174278,0.025122406171121534,0.27556680700116415
291,LTA4H,ENSG00000111144,-0.5156197931276532,0.02611510500426402,0.2854713024692916
292,LY6D,ENSG00000167656,4.392047573185957,0.026631745019148067,0.2901218524175
293,TTC16,ENSG00000167094,-1.584126540687024,0.026812421571793043,0.29052896821748453
294,HIF1A,ENSG00000100644,-0.8612109036111951,0.026851781407085967,0.29052896821748453
295,RND1,ENSG00000172602,-0.13459932122510931,0.02704746045276466,0.29165414135676065
296,RAPGEF5,ENSG00000136237,-0.9479454870195485,0.027148597500784893,0.29175570489863767
297,NKG7,ENSG00000105374,-14.803383885728236,0.027852247869714904,0.2963143828547261
298,UBE2C,ENSG00000175063,-14.391148321039626,0.027852247869714904,0.2963143828547261
299,INSIG1-DT,ENSG00000273117,-13.86497984999523,0.027852247869714904,0.2963143828547261
