gene,gene_ens,log2FC,pvalue,padj,mean_group,mean_ref,pct_group,pct_ref
MMP7,ENSG00000137673,1.144,0.009716447586927447,0.03407720662227524,0.4065,0.1839,0.193,0.117
MAVS,ENSG00000088888,-0.8604,0.00972395074081759,0.034080258462701754,0.1327,0.241,0.071,0.167
BFAR,ENSG00000103429,-0.3486,0.0097493568073481,0.034135289564477686,0.5446,0.6935,0.279,0.423
SPCS3,ENSG00000129128,-0.3635,0.009752939875565053,0.034135289564477686,0.4863,0.6256,0.257,0.392
THAP7,ENSG00000184436,-0.8247,0.00979243115418562,0.034250177855824175,0.1512,0.2678,0.089,0.185
DLC1,ENSG00000164741,-0.2914,0.009862426806722635,0.03447152988635435,0.8735,1.0691,0.407,0.581
NARS2,ENSG00000137513,-0.9983,0.009896502282695107,0.03454363364707028,0.1171,0.234,0.061,0.156
ATXN7,ENSG00000163635,-1.4696,0.00989577618182766,0.03454363364707028,0.0718,0.1989,0.039,0.131
LMAN2,ENSG00000169223,-0.3569,0.009944165387312456,0.03468643704006205,0.5591,0.716,0.296,0.441
SDF2L1,ENSG00000128228,-0.411,0.00995291968918341,0.0346934201920111,0.3862,0.5135,0.207,0.32
ARL2BP,ENSG00000102931,-0.4225,0.010043783598347046,0.034986413646309916,0.2996,0.4016,0.161,0.27
COQ10B,ENSG00000115520,-0.6622,0.010055561625715652,0.03500370977840584,0.1881,0.2977,0.107,0.206
MRPL22,ENSG00000082515,-0.4658,0.010085798983514251,0.03508519646397848,0.2993,0.4134,0.164,0.274
KLF3,ENSG00000109787,-0.5992,0.010093186220290085,0.03508713856552805,0.2102,0.3185,0.114,0.215
SPART,ENSG00000133104,-0.6222,0.010105940528474595,0.03510772307998815,0.2071,0.3188,0.118,0.217
PDHB,ENSG00000168291,-0.6272,0.010166952113271203,0.03529581078242395,0.2109,0.3259,0.121,0.222
DESI1,ENSG00000100418,-0.4605,0.010185561543942357,0.035336539644007986,0.3089,0.4251,0.171,0.283
NCOA4,ENSG00000266412,-0.417,0.010244192418013384,0.035492016617500184,0.3531,0.4714,0.193,0.308
HINT1,ENSG00000169567,-0.2654,0.01024381802427304,0.035492016617500184,1.5297,1.8387,0.686,0.851
SLC26A9,ENSG00000174502,-0.6028,0.010282820272128675,0.03557786569575565,0.2052,0.3117,0.1,0.2
MRC2,ENSG00000011028,-0.6551,0.010281505550297826,0.03557786569575565,0.1901,0.2994,0.096,0.196
PLA2G10,ENSG00000069764,-0.4118,0.010321954636915175,0.03564126540622995,0.424,0.5642,0.218,0.336
TMEM256,ENSG00000205544,-0.3519,0.010319128018709413,0.03564126540622995,0.6491,0.8284,0.339,0.491
AHCYL1,ENSG00000168710,-0.3441,0.010311028864182708,0.03564126540622995,0.5186,0.6583,0.275,0.408
AKTIP,ENSG00000166971,-1.2592,0.010381662444942555,0.035823359061191974,0.0837,0.2004,0.05,0.142
IER3,ENSG00000137331,-0.4547,0.010404037087614854,0.03585240949440987,0.3795,0.5202,0.193,0.298
CNDP2,ENSG00000133313,-0.3601,0.01040100072532288,0.03585240949440987,0.46,0.5905,0.243,0.377
MRPL9,ENSG00000143436,-0.8382,0.010434444117721304,0.03593309241075875,0.1443,0.2581,0.086,0.181
MRPL20,ENSG00000242485,-0.3508,0.01045844527854034,0.03599162213070346,0.7793,0.9939,0.396,0.573
CFDP1,ENSG00000153774,-0.4434,0.010510041798595405,0.03614497641310789,0.3569,0.4854,0.196,0.306
SCAMP3,ENSG00000116521,-0.5259,0.010555326313800609,0.03627643250856691,0.2636,0.3796,0.146,0.25
SEMA4B,ENSG00000185033,0.9215,0.01056455793436135,0.03628388948312073,0.4346,0.2294,0.221,0.147
IRX5,ENSG00000176842,-1.195,0.010574374399236619,0.03629334379644472,0.0875,0.2005,0.046,0.139
PTRHD1,ENSG00000184924,-0.3425,0.01059191020654893,0.03632926211031269,0.6042,0.7661,0.321,0.461
HMGN1,ENSG00000205581,-0.3448,0.01065959689945514,0.03653703060000034,0.9966,1.2657,0.493,0.681
EEF1E1,ENSG00000124802,-0.5082,0.01069844746618326,0.03664574872083306,0.2839,0.4039,0.164,0.268
EPS8L2,ENSG00000177106,0.7711,0.010757545951645577,0.036823631645273136,0.5025,0.2944,0.254,0.191
MRPS2,ENSG00000122140,-0.9758,0.010809666843693956,0.03697740894999969,0.1212,0.2385,0.075,0.168
HIKESHI,ENSG00000149196,-0.4695,0.010846639439299992,0.037079197231619,0.2722,0.377,0.146,0.256
PYCR2,ENSG00000143811,-0.8842,0.010859842985173182,0.03709964977248658,0.1324,0.2445,0.079,0.172
CCS,ENSG00000173992,-0.7069,0.010877206658934671,0.03713427761701418,0.179,0.2923,0.1,0.197
GABARAPL1,ENSG00000139112,-0.6036,0.010896968054426153,0.037177039750094,0.2158,0.3279,0.121,0.221
ZSCAN16-AS1,ENSG00000269293,-0.7446,0.010958431307407333,0.03736192439114723,0.1694,0.284,0.093,0.191
DPM1,ENSG00000000419,-0.669,0.01103319360740126,0.03759187583211384,0.1791,0.2848,0.104,0.198
PITHD1,ENSG00000057757,-0.4746,0.011048200331897767,0.03761806050715091,0.2531,0.3517,0.139,0.243
ISCA2,ENSG00000165898,-0.5626,0.011062222966176006,0.03764086198689558,0.2396,0.3539,0.139,0.238
PPTC7,ENSG00000196850,-0.791,0.011111426784161847,0.037783263280624466,0.1408,0.2436,0.075,0.169
SCN1A,ENSG00000144285,-0.5838,0.01119663380700442,0.03804782043676502,0.2158,0.3235,0.096,0.195
STUB1,ENSG00000103266,-0.3704,0.011279769224095374,0.038304992910378075,0.5206,0.673,0.279,0.421
PRPF40A,ENSG00000196504,-0.3493,0.01130017893642016,0.03834895599427132,0.4206,0.5359,0.221,0.345
TSPAN1,ENSG00000117472,1.5194,0.011309169592985587,0.03835413423680525,0.2969,0.1035,0.15,0.068
SUMF2,ENSG00000129103,-0.4744,0.011348885995228415,0.038463440793854616,0.3143,0.4367,0.182,0.286
IL34,ENSG00000157368,-2.2956,0.011422089861589947,0.038678355329375025,0.0309,0.1519,0.014,0.103
