Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes,disease,direction
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,0.34036122355847126,0.34036122355847126,0,0,2.5063680281071585,2.7012326360831853,CDKN1A,IPF,up
MSigDB_Hallmark_2020,Androgen Response,2.3612362514949542e-06,8.264326880232339e-05,0,0,19.651029748283754,254.60513273346277,TNFAIP8;SCD;SELENOP;KRT8;DBI;B2M,IPF,down
MSigDB_Hallmark_2020,Cholesterol Homeostasis,0.0001813574024145715,0.0031737545422550013,0,0,17.28808446455505,148.937554307078,FABP5;SCD;FASN;LPL,IPF,down
MSigDB_Hallmark_2020,Adipogenesis,0.005123284411244196,0.041975688158704325,0,0,6.356744704570792,33.52521449894727,LPL;ATP1B3;PLIN2;TKT,IPF,down
MSigDB_Hallmark_2020,Myc Targets V1,0.005179578668589147,0.041975688158704325,0,0,23.925,125.91803017178806,RPS10;PSMA7,IPF,down
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,0.00696362343842367,0.041975688158704325,0,0,4.543049543049543,22.565578452422493,CA2;SLC2A3;SLC39A8;PLIN2;HOPX,IPF,down
MSigDB_Hallmark_2020,p53 Pathway,0.007195832255777885,0.041975688158704325,0,0,5.728506787330317,28.265903370083905,LDHB;AK1;NUPR1;CTSD,IPF,down
MSigDB_Hallmark_2020,Estrogen Response Early,0.01033398044551332,0.0516699022275666,0,0,5.1201079622132255,23.410760473339575,ABCA3;FASN;KRT8;BLVRB,IPF,down
MSigDB_Hallmark_2020,Estrogen Response Late,0.013538959369251145,0.05923294724047376,0,0,4.7030603804797355,20.23343051083656,FABP5;CA2;ABCA3;BLVRB,IPF,down
MSigDB_Hallmark_2020,Reactive Oxygen Species Pathway,0.01593809033377295,0.06198146240911702,0,0,11.95,49.46156882357825,TXN;FTL,IPF,down
MSigDB_Hallmark_2020,mTORC1 Signaling,0.027903159256562823,0.09766105739796987,0,0,4.922899884925202,17.61913431158483,SCD;SLC2A3;NUPR1,IPF,down
MSigDB_Hallmark_2020,Interferon Alpha Response,0.037634637260928,0.11974657310295272,0,0,7.16,23.483586014023565,LAMP3;B2M,IPF,down
MSigDB_Hallmark_2020,Bile Acid Metabolism,0.06988960055080773,0.2038446682731892,0,0,4.930172413793104,13.118392160599774,ABCA3;HSD17B6,IPF,down
MSigDB_Hallmark_2020,Fatty Acid Metabolism,0.0905734195799268,0.2438515142536491,0,0,4.201470588235294,10.09022861921687,CA2;FASN,IPF,down
MSigDB_Hallmark_2020,Hypoxia,0.1050683069964153,0.26267076749103824,0,0,2.760467380720545,6.219732165480989,SDC2;SLC2A3;PLIN2,IPF,down
MSigDB_Hallmark_2020,Glycolysis,0.11739555204083925,0.26493154386993173,0,0,3.5675,7.642320830844377,SDC2;TXN,IPF,down
MSigDB_Hallmark_2020,heme Metabolism,0.1314736818261959,0.26493154386993173,0,0,3.316860465116279,6.729739349325172,CA2;BLVRB,IPF,down
