logFC,pval,nhood_annotation,contrast,SpatialFDR
2.759253312818294,1.731836786931725e-06,Proximal Epithelium,IPF_vs_Normal,1.7855163104667072e-05
-4.162166318696331,0.005439757679317801,Airway Epithelium,IPF_vs_Normal,0.013974162084297923
1.5183421300468105,0.005936829142754049,Myeloid,IPF_vs_Normal,0.014907091585436797
2.5128239880377397,2.2969118450351443e-06,Endothelial (Macro),IPF_vs_Normal,2.201902699030953e-05
-33.97019884153515,0.9987848974685419,Airway Epithelium,IPF_vs_Normal,0.999127929492261
-34.230812570377836,0.9989261084977391,Alveolar Epithelium,IPF_vs_Normal,0.999127929492261
0.22624975489886565,0.6697688778212828,Myeloid,IPF_vs_Normal,0.8510311287167701
3.091752031226221,2.5728397175539223e-07,Myeloid,IPF_vs_Normal,4.202420796090657e-06
5.9736083621734934,5.81579202537496e-05,Proximal Epithelium,IPF_vs_Normal,0.00031416202145652914
-5.480482170778886,0.00017862059115860587,Myeloid,IPF_vs_Normal,0.0008309309094501427
0.8880872764676397,0.05565587042583804,Myeloid,IPF_vs_Normal,0.09449697029825162
-3.6367312929905364,0.014121366158563768,Endothelial,IPF_vs_Normal,0.02900014830963741
-0.682305346055981,0.21430150713941098,Myeloid,IPF_vs_Normal,0.31342897372402156
-0.2181864513768506,0.7005867383031819,Endothelial (Micro),IPF_vs_Normal,0.8853412068885157
5.174074924931323,2.207238945540496e-06,Myeloid,IPF_vs_Normal,2.1329259835506476e-05
3.3067625075620253,1.7067064881657666e-06,Proximal Epithelium,IPF_vs_Normal,1.7671752825583062e-05
3.5994753543671503,1.5849857107088944e-15,Myeloid,IPF_vs_Normal,1.5043865456414879e-12
-2.5090547717381306,0.005817100702670312,Myeloid,IPF_vs_Normal,0.014669574758770138
