umap1,umap2,nhood_annotation,nhood_size,logFC_IPF,FDR_IPF,logFC_COVID,FDR_COVID,logFC_COVIDvsIPF,FDR_COVIDvsIPF
12.730769,2.4791481,Myeloid,29,-0.15545712550568103,0.999127929492261,-29.3661970572483,0.9992162062284382,-29.76660126642631,0.9993360784192652
10.738639,2.8698707,Myeloid,37,3.8617471605169333,2.57766854116586e-06,0.9642083310742684,0.9992162062284382,-2.89753752474338,0.31971978716050026
16.634394,5.4627104,Myeloid,30,-3.1626218634850614,0.06286728909202266,,,,
-0.53474474,1.6875659,Airway Epithelium,49,-0.39069512475035656,0.6190638409977111,-31.155578744044444,0.9992162062284382,-31.1381532631108,0.9993360784192652
1.8081579,-4.30209,Airway Epithelium,59,-4.8173317026407085,0.004291203857135772,-31.137605375889308,0.9992162062284382,,
16.423758,3.5145676,Myeloid,51,-0.0012624304637779767,0.999127929492261,-0.23111569965861525,0.9992162062284382,-0.22985391490384688,0.9993360784192652
11.697907,-6.470152,Lymphoid,38,-33.05823247680463,0.999127929492261,-31.40242608371501,0.9992162062284382,,
8.754673,15.9425125,Endothelial (Macro),63,2.2717096964910435,6.274457685917691e-06,-29.77508078339617,0.9992162062284382,-32.835966400455774,0.9993360784192652
0.8296861,6.9735637,Proximal Epithelium,29,1.915646783801788,0.008521791566916275,1.0213304501239695,0.9992162062284382,-0.8943168119131808,0.9993360784192652
13.325643,3.066618,Myeloid,54,-2.951792626933012,0.0007504948325696017,-2.8029946086921016,0.4706149822509179,0.1487980985244518,0.9993360784192652
1.9397569,-3.6759362,Proximal Epithelium,46,1.8489331762049583,0.0027439394747910697,-0.582508678137132,0.9992162062284382,-2.431439659303519,0.5222406839445889
9.195569,3.9273796,Myeloid,31,4.919574978878182,4.498614646278901e-05,,,-31.123020185178923,0.9993360784192652
1.9540571,3.3728104,Airway Epithelium,29,-32.77521831619141,0.999127929492261,-31.11941192310526,0.9992162062284382,,
10.006266,3.2934802,Myeloid,30,2.6578320122783885,0.0004395487640653109,-28.29699827326417,0.9992162062284382,-31.027798405979784,0.9993360784192652
-4.6081905,4.985166,Airway Epithelium,67,-5.190484165596085,0.0019837370748756146,-31.32155515189614,0.9992162062284382,,
-2.1656537,0.36456105,Airway Epithelium,40,-32.85674278734289,0.999127929492261,-31.20093639425079,0.9992162062284382,,
1.1936414,7.1703277,Proximal Epithelium,29,3.975991345979254,0.00010315139205978384,,,-30.934169631860215,0.9993360784192652
-0.944118,2.477194,Airway Epithelium,31,-2.1368647505590777,0.0392512065503535,-0.5197794415438678,0.9992162062284382,1.6170859866595393,0.8665040665598894
-3.7053642,6.031763,Airway Epithelium,60,-2.987936560931463,0.0035745875123134262,-30.91149087668889,0.9992162062284382,,
15.370183,4.6248426,Myeloid,37,-2.4929418154672986,0.013631186623292083,-31.243204226724995,0.9992162062284382,,
9.551254,0.38411093,Myeloid,61,-0.6268313133903829,0.29611222223592365,-0.8426621426549135,0.9992162062284382,-0.21583113470727644,0.9993360784192652
-0.024202876,-4.433304,Proximal Epithelium,54,1.8983037374050638,0.0007536604830520382,-29.6781941770346,0.9992162062284382,-32.365672811869736,0.9993360784192652
11.511078,-6.98182,Lymphoid,30,,,,,,
14.475421,15.136771,Lymphatic EC,42,1.0234092222027267,0.09699468330449164,0.6200594500007455,0.9992162062284382,-0.40334981059084807,0.9993360784192652
1.3589867,-5.690749,Proximal Epithelium,30,4.777056133409349,8.016462744208084e-05,,,-31.029505407362667,0.9993360784192652
