Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,population,gene_set_db
prerank,REACTOME_MITOPHAGY,-0.7593251850332929,-1.3470816515962003,0.004024144869215292,0.07888033090955154,0.998,14/33,14.40%,RPS27A;UBA52;TOMM7;UBB;UBC;TOMM20;SQSTM1;MAP1LC3B;VDAC2;MAP1LC3A;CSNK2B;VDAC1;TOMM22;TOMM5,ECM-high Epithelial,Reactome
prerank,REACTOME_RHOV_GTPASE_CYCLE,0.4307216343747128,1.346505263636141,0.0,0.16992835695095612,0.678,2/25,1.00%,DST;PEAK1,ECM-high Epithelial,Reactome
prerank,REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING,-0.7560878324249308,-1.344661632972957,0.012145748987854251,0.08187205918045594,0.998,15/33,14.13%,PPIA;RPLP0;MIF;CFL1;SOD1;ARF1;TALDO1;P4HB;HNRNPF;HNRNPDL;PSME2;CANX;CNN2;CDC42;HNRNPA2B1,ECM-high Epithelial,Reactome
prerank,REACTOME_DUAL_INCISION_IN_TC_NER,-0.7608339543034357,-1.3444684042656356,0.006012024048096192,0.08132814227857255,0.998,15/43,11.90%,RPS27A;UBA52;POLR2L;UBB;UBC;RBX1;TCEA1;POLR2I;POLR2C;POLR2K;POLR2E;POLR2J;POLR2F;POLE4;GTF2H5,ECM-high Epithelial,Reactome
prerank,REACTOME_FORMATION_OF_TC_NER_PRE_INCISION_COMPLEX,-0.7642887691323671,-1.3429681035434686,0.004032258064516129,0.0828718064294154,0.998,14/40,11.90%,RPS27A;UBA52;POLR2L;UBB;UBC;RBX1;TCEA1;POLR2I;POLR2C;POLR2K;POLR2E;POLR2J;POLR2F;GTF2H5,ECM-high Epithelial,Reactome
prerank,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,-0.7641143680570964,-1.3422726039804134,0.008032128514056224,0.0832606854329402,0.998,9/38,8.53%,RPS27A;UBA52;IFITM3;UBB;HLA-C;IFITM2;UBC;HLA-A;EGR1,ECM-high Epithelial,Reactome
prerank,REACTOME_PINK1_PRKN_MEDIATED_MITOPHAGY,-0.7611119153890399,-1.3411235423761176,0.006072874493927126,0.0843389553524758,0.998,13/29,14.40%,RPS27A;UBA52;TOMM7;UBB;UBC;TOMM20;SQSTM1;MAP1LC3B;VDAC2;MAP1LC3A;VDAC1;TOMM22;TOMM5,ECM-high Epithelial,Reactome
prerank,REACTOME_CALNEXIN_CALRETICULIN_CYCLE,-0.7784911236568746,-1.3406714850574706,0.035269709543568464,0.08422370217372918,0.998,7/20,13.12%,RPS27A;UBA52;UBB;UBC;CALR;PDIA3;CANX,ECM-high Epithelial,Reactome
prerank,REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES,-0.7604345791113194,-1.3397187667719024,0.02263374485596708,0.0853243742511625,0.998,9/27,13.61%,ACTG1;ACTB;BRK1;ARPC3;ARPC2;RAC1;ARPC1B;ARPC5;CDC42,ECM-high Epithelial,Reactome
prerank,REACTOME_MRNA_SPLICING_MINOR_PATHWAY,-0.7555167464335684,-1.3381384898995925,0.00404040404040404,0.08742117888365473,0.998,22/46,14.64%,POLR2L;SNRPD2;YBX1;SNRPG;SF3B5;SNRPF;SF3B6;SNRPD3;SNRPE;POLR2I;POLR2C;POLR2K;SNRPB;POLR2E;POLR2J;SRSF7;POLR2F;SNRPD1;SRSF2;SF3B2;ZCRB1;TXNL4A,ECM-high Epithelial,Reactome
prerank,REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE,-0.748325572278181,-1.3380639890925017,0.002,0.08671036497914901,0.998,9/67,5.32%,RPS27A;UBA52;SKP1;UBB;FOS;NFKBIA;HMGB1;JUN;UBC,ECM-high Epithelial,Reactome
prerank,REACTOME_EGFR_DOWNREGULATION,-0.7796841731411959,-1.337193819461415,0.010101010101010102,0.0875925507699718,0.998,5/23,8.68%,RPS27A;UBA52;UBB;UBC;AREG,ECM-high Epithelial,Reactome
prerank,REACTOME_STIMULI_SENSING_CHANNELS,-0.7698422272737874,-1.3370893209274957,0.016359918200409,0.08697532530574034,0.998,6/28,7.94%,RPS27A;UBA52;UBB;CALM1;UBC;SRI,ECM-high Epithelial,Reactome
prerank,REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,-0.8006844854818866,-1.3368397950715787,0.020876826722338204,0.08659777302040207,0.998,4/15,5.32%,RPS27A;UBA52;UBB;UBC,ECM-high Epithelial,Reactome
prerank,REACTOME_RHO_GTPASES_ACTIVATE_ROCKS,-0.8005648489304119,-1.3364760843793675,0.027837259100642397,0.0865183702295161,0.998,5/17,8.98%,MYL12B;MYL6;CFL1;RHOA;RHOB,ECM-high Epithelial,Reactome
prerank,REACTOME_PYRUVATE_METABOLISM,-0.7471597645988861,-1.3302089937265615,0.034274193548387094,0.09661924524717982,1.0,9/29,12.01%,RPS27A;UBA52;LDHB;UBB;LDHA;UBC;GLO1;MPC1;VDAC1,ECM-high Epithelial,Reactome
prerank,REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,-0.7312849502464432,-1.3295209375710957,0.0,0.09713923485363866,1.0,53/149,13.76%,GSTP1;RPS27A;UBA52;COX7C;NDUFA4;PRDX5;COX6A1;COX4I1;COX7A2;COX6C;COX6B1;COX5B;TXN;COX8A;SKP1;UBB;PRDX1;BLVRB;COX7B;PRDX6;COX5A;TKT;PRDX2;SOD1;SEM1;PSMA7;SOD3;PSME1;UBC;PSMB1;RBX1;PSMB6;CAT;COX7A2L;TALDO1;P4HB;PSMD8;AREG;SQSTM1;ATF4;MAP1LC3B;CYCS;PSMB5;CSNK2B;PSMB2;PRDX3;PSMA4;PSMA3;TXNIP;PSME2;PSMC5;PSMA1;TXN2,ECM-high Epithelial,Reactome
prerank,REACTOME_TNF_SIGNALING,-0.7657744634073511,-1.3269810848501589,0.014198782961460446,0.1006013074335948,1.0,5/33,5.32%,RPS27A;UBA52;RACK1;UBB;UBC,ECM-high Epithelial,Reactome
prerank,REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS,-0.7715201661694744,-1.326922265709823,0.03125,0.09984263516098493,1.0,4/20,9.03%,SLC25A5;SLC25A6;SLC25A4;BANF1,ECM-high Epithelial,Reactome
prerank,REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,-0.7844614892045322,-1.32678909418982,0.027253668763102725,0.0992673828312227,1.0,9/18,14.04%,HLA-C;B2M;HLA-A;CALR;HSPA5;PDIA3;BCAP31;CANX;HLA-E,ECM-high Epithelial,Reactome
prerank,REACTOME_RECYCLING_PATHWAY_OF_L1,-0.7546161629960734,-1.3266686642053873,0.03285420944558522,0.09864017371103638,1.0,8/22,13.89%,ACTG1;ACTB;CLTA;TUBB4B;AP2S1;TUBA1B;TUBA1C;AP2M1,ECM-high Epithelial,Reactome
prerank,REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS,-0.754933711901465,-1.3265112792242422,0.014084507042253521,0.09806910845757058,1.0,6/33,7.08%,RPS27A;UBA52;TXN;UBB;UBC;HSP90AB1,ECM-high Epithelial,Reactome
prerank,REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE,-0.7824915892183094,-1.3264496078415524,0.052742616033755275,0.09737120026646946,1.0,4/17,8.98%,MYL12B;MYL6;RHOA;RHOB,ECM-high Epithelial,Reactome
prerank,REACTOME_NEGATIVE_REGULATION_OF_MAPK_PATHWAY,-0.7701700377293339,-1.325480188125246,0.01026694045174538,0.0985760024896806,1.0,7/27,8.22%,RPS27A;UBA52;PEBP1;UBB;UBC;YWHAB;DUSP1,ECM-high Epithelial,Reactome
prerank,REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING,-0.7473357428729436,-1.3252612432801087,0.012195121951219513,0.09824261719706824,1.0,4/29,5.32%,RPS27A;UBA52;UBB;UBC,ECM-high Epithelial,Reactome
prerank,REACTOME_FLT3_SIGNALING,-0.7553613699514866,-1.3246452080374551,0.02434077079107505,0.09837245587878368,1.0,4/26,5.32%,RPS27A;UBA52;UBB;UBC,ECM-high Epithelial,Reactome
prerank,REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING,-0.7670668494415434,-1.3245716475552378,0.03941908713692946,0.09773825621923815,1.0,5/21,8.98%,MYL12B;MYL6;RHOA;RAC1;RHOB,ECM-high Epithelial,Reactome
prerank,REACTOME_SNRNP_ASSEMBLY,-0.7444414565614006,-1.3217146701305258,0.0326530612244898,0.10170806160411947,1.0,7/28,10.94%,SNRPD2;SNRPG;SNRPF;SNRPD3;SNRPE;SNRPB;SNRPD1,ECM-high Epithelial,Reactome
